report_name,company,link
idorsia_2021_report.pdf,idorsia,https://www.idorsia.com/dam/jcr:b908574d-8dc2-4ba8-be7a-aca5e9deb0a9/2021_idorsia-annual-report-business.pdf
ifast corporation_2021_report.pdf,ifast corporation,https://www.ifastcorp.com/ifastcorp/articleFiles/webarticles/14645/SG/iFAST%20Corp_Annual%20Report%202021_20220401.pdf
inchcape plc_2022_report.pdf,inchcape plc,https://www.inchcape.com/wp-content/uploads/2023/04/Annual-Report-and-Accounts-2022-1.pdf
innospec inc_2020_report.pdf,innospec inc,https://innospecsustainability.com/wp-content/uploads/2024/01/innospec-2020-SD-Report.pdf
jetblue airways corp_2019_report.pdf,jetblue airways corp,https://www.jetblue.com/magnoliaauthor/dam/ui-assets/p/JetBlue-Sustainability-2019-Annual-Report.pdf
jpmorgan chase_2020_report.pdf,jpmorgan chase,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2020.pdf
kfw_2018_report.pdf,kfw,https://www.kfw.de/PDF/Download-Center/Konzernthemen/Nachhaltigkeit/englisch/Nachhaltigkeitsbericht-2018_-EN.pdf
kilroy realty_2017_report.pdf,kilroy realty,https://kilroyrealty.com/wp-content/uploads/2021/05/kilroy-realty-corporation-sustainability-report-2017.pdf
kilroy realty_2018_report.pdf,kilroy realty,https://kilroyrealty.com/wp-content/uploads/2021/05/kilroy-realty-corporation-sustainability-report-2018.pdf
kitz corp_2019_report.pdf,kitz corp,https://www.kitz.com/english/about/pdf/corporate_report_2019_e_05.pdf
knowit_2021_report.pdf,knowit,https://www.knowit.eu/globalassets/investor-relations/reports/english/2021/presentation-year-end-report-knowit-2021.pdf?_gl=1*6zys51*_up*MQ..*_ga*Nzg4NjA0NTg0LjE3MjYwNTA3MDM.*_ga_FSZZKDJR4H*MTcyNjA1MDcwMi4xLjAuMTcyNjA1MDcwMi4wLjAuMA..
krones ag_2017_report.pdf,krones ag,https://www.krones.cn/media/downloads/GB_2017_Konzern_e.pdf
krones ag_2018_report.pdf,krones ag,https://www.krones.com/media/downloads/GB_2018_Konzern_e.pdf
kureha corp_2020_report.pdf,kureha corp,https://www.kureha.co.jp/en/sustainability/report/pdf/CSR%20report%202020_e.pdf
lar espana real estate sa_2022_report.pdf,lar espana real estate sa,https://www.larespana.com/wp-content/uploads/2018/09/FY-2022-Results-Report.pdf
lundin gold inc_2021_report.pdf,lundin gold inc,https://lundingold.com/site/assets/files/110808/2021_lug_sustainability_report.pdf
lundin gold inc_2022_report.pdf,lundin gold inc,https://static1.squarespace.com/static/54d667e5e4b05b179814c788/t/6598784c66d0575f3f694d4c/1704491097226/LUNDIN+GOLD+SR+2022.pdf
manitou bf sa_2018_report.pdf,manitou bf sa,https://www.manitou-group.com/wp-content/uploads/2019/06/AnnualReport_2018_EN_BD.pdf
merit medical systems inc_2019_report.pdf,merit medical systems inc,https://www.merit.com/wp-content/uploads/2020/03/2019-Merit-SustainabilityReport.pdf
metro ag_2022_report.pdf,metro ag,https://corpo.metro.ca/userfiles/file/PDF/2022-cr-report.pdf
monadelphous group_2022_report.pdf,monadelphous group,https://monadelphous.com.au/media/5840751/221017-2022-annual-report.pdf
morinaga ltd_2020_report.pdf,morinaga ltd,https://www.morinaga.co.jp/company/english/sustainability/reports/pdf/csr2020/csr2020_all.pdf
municipal finance authority of bc_2021_report.pdf,municipal finance authority of bc,https://mfa.bc.ca/sites/default/files/Investors/Annual%20Report/2021_mfa_annual_report.pdf
musashi seimitsu industry ltd_2019_report.pdf,musashi seimitsu industry ltd,https://www.musashi.co.jp/assets/pdf/2019_Musashi_Sustainability_Report_ENG.pdf
musashi seimitsu industry ltd_2022_report.pdf,musashi seimitsu industry ltd,https://www.musashi.co.jp/assets/pdf/2022_Musashi_Integrated_Report_ENG.pdf
nippn corp_2022_report.pdf,nippn corp,https://www.nippn.co.jp/en/ir/announcement/Integrated_Report/__icsFiles/afieldfile/2023/02/28/Integrated_Report_2022_2page_spread.pdf
nippon steel and sumitomo metal_2017_report.pdf,nippon steel and sumitomo metal,https://www.nipponsteel.com/common/secure/en/csr/report/nssmc/pdf/report2017_all.pdf
nordea_2017_report.pdf,nordea,https://www.nordea.com/en/doc/nordea-sustainability-report-2017-printable.pdf
patrizia_2021_report.pdf,patrizia,https://www.patrizia.ag/fileadmin/form_definitions/Our_Responsibility/ESG_Report/PATRIZIA_Sustainability_Report_2021.pdf
penske automotive group_2022_report.pdf,penske automotive group,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PAG_2022.pdf
polaris_2021_report.pdf,polaris,https://polarisequity.dk/wp-content/uploads/2022/05/Polaris-Sustainability-Report-2021.pdf
popular inc_2020_report.pdf,popular inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NASDAQ_BPOP_2020.pdf
rinnai corp_2020_report.pdf,rinnai corp,https://www.rinnai.co.jp/en/corp/csr/backnumber/pdf/report2020.pdf
rpt realty_2020_report.pdf,rpt realty,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RPT_2020.pdf
rpt realty_2021_report.pdf,rpt realty,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_RPT_2021.pdf
salzgitter ag_2018_report.pdf,salzgitter ag,https://www.salzgitter-ag.com/fileadmin/reports/2018/nfr/en/downloads/szag-non-financial-report-2018.pdf
sangetsu corp_2018_report.pdf,sangetsu corp,https://www.sangetsu.co.jp/images/english/ir/library/pdf/sangetsu-report2018-en_a3.pdf
sato oyj_2022_report.pdf,sato oyj,https://assets.ctfassets.net/z7ety0aygnfq/4DobjTm1iej4GSwvBdHK7K/2641bdbb533222fe3425d7df9838dd34/SATOs_Sustainability_report_2022.pdf
snc lavalin inc_2019_report.pdf,snc lavalin inc,https://www.atkinsrealis.com/~/media/Files/A/atkinsrealis/download-centre/en/report/sustainability-report-2019.pdf
stantec inc_2019_report.pdf,stantec inc,https://www.stantec.com/content/dam/stantec/files/PDFAssets/2020/stn-sustainability-report-2019.pdf
steico_2022_report.pdf,steico,https://www.steico.com/fileadmin/user_upload/Investor_Relations/2023_Veroeffentlichungen/2023_Finanzberichte/EN_STEICO_Annual_Report_2022.pdf
subsea sa_2018_report.pdf,subsea sa,https://www.subsea7.com/content/dam/subsea7-corporate2018/Results_Reports_Presentations/Report/2019/annual-report-page-assets/annual-report-2018.pdf.downloadasset.pdf
sumitomo corporation_2021_report.pdf,sumitomo corporation,https://www.sumitomocorp.com/en/jp/sustainability/communication/asset/pdf/esg-2021.pdf
swiss prime site_2020_report.pdf,swiss prime site,https://sps.swiss/fileadmin/user_upload/redakteure/gruppe/pdf/geschaeftsberichte/en/Annual_Report_2020.pdf
tkh group_2018_report.pdf,tkh group,https://www.tkhgroup.com/media/documents/TKH.2018.AnnualReport_SIZBVcm.pdf
tokyu construction_2018_report.pdf,tokyu construction,https://www.tokyu-cnst.co.jp/en/ir/report/pdf/IR2018_EN_web.pdf
toshiba tec corp_2022_report.pdf,toshiba tec corp,https://www.toshibatec.com/company/ir/material/pdf/integrated_report2022.pdf
trex inc_2019_report.pdf,trex inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NYSE_TREX_2019.pdf
tricon residential inc_2020_report.pdf,tricon residential inc,https://s34643.pcdn.co/wp-content/uploads/2020-%E2%80%93-Tricon-Residential-2020-ESG-Annual-Report.pdf
trisura group_2022_report.pdf,trisura group,https://www.trisura.com/wp-content/uploads/2023/03/TGL-2022-Annual-Report.pdf
uniper_2019_report.pdf,uniper,https://www.uniper.energy/sites/default/files/2022-03/uniper_sustainability_report_2019_en.pdf
webuild_2019_report.pdf,webuild,https://media.webuildgroup.com/sites/default/files/2023-05/eng-annual-report-2019-dnf-def_1.pdf
whiting petroleum_2020_report.pdf,whiting petroleum,https://www.chordenergy.com/wp-content/uploads/2022/06/Whiting-2020-Sustainability-Report.pdf
xvivo perfusion_2020_report.pdf,xvivo perfusion,https://storage.mfn.se/3eeec93e-d327-45b7-9fe4-aa800a7c18a4/xvivo-perfusion-ab-publ-annual-report-2020.pdf
xvivo perfusion_2021_report.pdf,xvivo perfusion,https://storage.mfn.se/6f621ebc-3799-4048-8439-c88b61fc34b7/xvivo-perfusion-ab-publ-annual-report-2021.pdf
